Transcript/RepeatID (cmd=analyzeRepeats.pl rna hg19 -count pausing -condenseGenes -norm 1e6 -d /research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Pausing Ratio	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Promoter Reads (-50,200)	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ GeneBody Reads (200,5000)
NM_005505	chr12	125343410	125348460	-	250.0	1	SCARB1|CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1|-|12q24.31|protein-coding	12.785	7.169	8.434
NR_145730	chr7	39363733	39368783	-	250.0	1	SNORA20B|-|-|7p14.1|snoRNA	5.000	0.527	0.000
NM_001363974	chr8	49642827	49647877	-	250.0	1	EFCAB1|-|-|8q11.21|protein-coding	0.960	0.000	0.105
NM_000520	chr15	72663355	72668405	-	250.0	1	HEXA|TSD|-|15q23|protein-coding	10.433	5.482	7.801
NR_135019	chr12	90341420	90346470	+	250.0	1	LINC02399|-|-|12q21.33|ncRNA	1.000	0.000	0.000
NM_001145165	chr19	3495672	3500722	-	250.0	1	DOHH|HLRC1|hDOHH|-|19p13.3|protein-coding	8.219	3.163	5.166
NM_000092	chr2	228024275	228029325	-	250.0	1	COL4A4|ATS2|BFH|CA44|-|2q36.3|protein-coding	1.728	0.105	0.105
NM_058195	chr9	21989490	21994540	-	250.0	1	CDKN2A|ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16|-|9p21.3|protein-coding	5.613	3.690	10.542
NM_005484	chr14	20811723	20816773	+	250.0	1	PARP2|ADPRT2|ADPRTL2|ADPRTL3|ARTD2|PARP-2|pADPRT-2|-|14q11.2|protein-coding	4.457	1.581	4.849
NR_125977	chr1	119682969	119688019	+	250.0	1	WARS2-AS1|-|-|1p12|ncRNA	6.700	5.166	12.650
NM_080722	chr10	72432212	72437262	+	250.0	1	ADAMTS14|-|-|10q22.1|protein-coding	0.727	0.000	0.949
NM_001363885	chr3	51996482	52001532	-	250.0	1	PCBP4|CBP|LIP4|MCG10|-|3p21.2|protein-coding	4.394	1.581	4.955
NM_001128304	chr3	145963892	145968942	-	250.0	1	PLSCR4|TRA1|-|3q24|protein-coding	3.055	0.422	0.949
NM_001017404	chr1	202183233	202188283	+	250.0	1	LGR6|GPCR|VTS20631|-|1q32.1|protein-coding	1.000	0.000	0.000
NM_001369897	chr1	912473	917523	-	250.0	1	PERM1|C1orf170|-|1p36.33|protein-coding	0.857	0.000	0.422
NM_001199654	chr1	156182729	156187779	+	250.0	1	PMF1|-|-|1q22|protein-coding	4.823	5.482	19.819
NM_148902	chr1	1136972	1142022	-	250.0	1	TNFRSF18|AITR|CD357|ENERGEN|GITR|GITR-D|-|1p36.33|protein-coding	0.800	0.000	0.633
NM_012249	chr2	46769579	46774629	+	250.0	1	RHOQ|ARHQ|HEL-S-42|RASL7A|TC10|TC10A|-|2p21|protein-coding	0.527	0.105	6.114
NM_001271639	chr7	64254756	64259806	+	250.0	1	ZNF138|pHZ-32|-|7q11.21|protein-coding	5.592	2.846	7.696
NR_015375	chr9	2617373	2622423	-	250.0	1	VLDLR-AS1|linc-VLDLR|lincRNA-VLDLR|-|9p24.2|ncRNA	0.889	0.000	0.316
NM_001289069	chr10	96305495	96310545	+	250.0	1	HELLS|ICF4|LSH|Nbla10143|PASG|SMARCA6|-|10q23.33|protein-coding	7.097	4.428	9.804
NM_001351562	chr9	82186638	82191688	+	250.0	1	TLE4|BCE-1|BCE1|E(spI)|E(spl)|ESG|ESG4|GRG4|Grg-4|-|9q21.31|protein-coding	5.859	6.431	18.976
NR_034132	chr12	126462920	126467970	-	250.0	1	LINC00939|-|-|12q24.32|ncRNA	1.000	0.000	0.000
NM_001142766	chr10	56555991	56561041	-	250.0	1	PCDH15|CDHR15|DFNB23|USH1F|-|10q21.1|protein-coding	1.800	0.105	0.000
NM_002792	chr20	60713450	60718500	-	250.0	1	PSMA7|C6|HEL-S-276|HSPC|RC6-1|XAPC7|-|20q13.33|protein-coding	6.582	7.169	18.765
NR_125784	chr1	217953462	217958512	-	250.0	1	SPATA17-AS1|-|-|1q41|ncRNA	1.000	0.000	0.000
NM_020210	chr15	90728102	90733152	+	250.0	1	SEMA4B|SEMAC|SemC|-|15q26.1|protein-coding	2.933	0.738	3.163
NR_107038	chr14	106087403	106092453	+	250.0	2	MIR8071-1|hsa-mir-8071-1|-|14q32.33|ncRNA	1.000	0.000	0.000
NM_178328	chr3	46283822	46288872	+	250.0	1	CCR3|CC-CKR-3|CD193|CKR3|CMKBR3|-|3p21.31|protein-coding	1.000	0.000	0.000
NM_001166056	chr19	34007697	34012747	-	250.0	1	PEPD|PROLIDASE|-|19q13.11|protein-coding	6.783	1.581	2.319
NM_004324	chr19	49458082	49463132	+	250.0	1	BAX|BCL2L4|-|19q13.33|protein-coding	3.300	3.057	16.024
NM_012368	chr16	3405839	3410889	+	250.0	1	OR2C1|OLFmf3|OR2C2P|-|16p13.3|protein-coding	0.960	0.000	0.105
NR_103768	chrX	153651825	153656875	-	250.0	1	CH17-340M24.3|-|-|Xq28|ncRNA	3.684	0.738	2.003
NM_022557	chr17	61954304	61959354	-	250.0	1	GH2|GH-V|GHB2|GHL|GHV|hGH-V|-|17q23.3|protein-coding	0.960	0.000	0.105
NR_073534	chr15	64443880	64448930	+	250.0	1	SNX22|-|-|15q22.31|protein-coding	0.868	1.265	28.358
NM_001346297	chr11	12132087	12137137	+	250.0	1	MICAL2|MICAL-2|MICAL2PV1|MICAL2PV2|-|11p15.3|protein-coding	1.686	0.211	1.370
NM_000680	chr8	26719795	26724845	-	250.0	1	ADRA1A|ADRA1C|ADRA1L1|ALPHA1AAR|-|8p21.2|protein-coding	1.000	0.000	0.000
NM_001321091	chr17	80009724	80014774	+	250.0	1	GPS1|COPS1|CSN1|SGN1|-|17q25.3|protein-coding	2.554	3.584	25.406
NM_001171080	chrX	106357052	106362102	-	250.0	1	RBM41|-|-|Xq22.3|protein-coding	3.319	1.581	7.379
NM_138716	chr8	16045300	16050350	-	250.0	1	MSR1|CD204|SCARA1|SR-A|SR-AI|SR-AII|SR-AIII|SRA|phSR1|phSR2|-|8p22|protein-coding	1.000	0.000	0.000
